"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter"
46,"Rudolf steinerskolen i Bergen","Alle utdanningsprogram","52","17","35","60","20","40","56","23","33","54","23","31","48","20","28","52","22","30","47","21","26","42","18","24","44","19","25","37","18","19","31","10","21","17","4","13","10","1","9"
46,"Rudolf steinerskolen i Bergen","Studieforberedende","52","17","35","60","20","40","56","23","33","54","23","31","48","20","28","52","22","30","47","21","26","42","18","24","44","19","25","37","18","19","31","10","21","17","4","13","10","1","9"
46,"Rudolf steinerskolen i Bergen","Studiespesialisering","52","17","35","60","20","40","56","23","33","54","23","31","48","20","28","52","22","30","47","21","26","42","18","24","44","19","25","37","18","19","31","10","21","17","4","13","10","1","9"
